arch,N_traces,seed,Tw_ms,acc,precision,recall,f1
A,10,0,50,0.91,0.8843,0.7071,0.7429
B,10,0,50,0.91,0.8843,0.7071,0.7755
A,10,1,50,0.91,0.8843,0.7071,0.7491
B,10,1,50,0.91,0.8843,0.7071,0.7784
A,10,2,50,0.91,0.8843,0.7071,0.735
B,10,2,50,0.91,0.8843,0.7071,0.7814
A,20,0,50,0.919,0.8946,0.7393,0.7815
B,20,0,50,0.919,0.8946,0.7393,0.8117
A,20,1,50,0.919,0.8946,0.7393,0.7574
B,20,1,50,0.919,0.8946,0.7393,0.7851
A,20,2,50,0.919,0.8946,0.7393,0.7584
B,20,2,50,0.919,0.8946,0.7393,0.8008
A,40,0,50,0.928,0.9049,0.7716,0.7625
B,40,0,50,0.928,0.9049,0.7716,0.8209
A,40,1,50,0.928,0.9049,0.7716,0.7754
B,40,1,50,0.928,0.9049,0.7716,0.8147
A,40,2,50,0.928,0.9049,0.7716,0.7839
B,40,2,50,0.928,0.9049,0.7716,0.8197
A,80,0,50,0.9371,0.9152,0.8038,0.8198
B,80,0,50,0.9371,0.9152,0.8038,0.8592
A,80,1,50,0.9371,0.9152,0.8038,0.8133
B,80,1,50,0.9371,0.9152,0.8038,0.8631
A,80,2,50,0.9371,0.9152,0.8038,0.8069
B,80,2,50,0.9371,0.9152,0.8038,0.851
A,120,0,50,0.9423,0.9213,0.8227,0.8401
B,120,0,50,0.9423,0.9213,0.8227,0.8614
A,120,1,50,0.9423,0.9213,0.8227,0.8203
B,120,1,50,0.9423,0.9213,0.8227,0.8493
A,120,2,50,0.9423,0.9213,0.8227,0.8237
B,120,2,50,0.9423,0.9213,0.8227,0.863
A,160,0,50,0.9461,0.9255,0.836,0.8273
B,160,0,50,0.9461,0.9255,0.836,0.8674
A,160,1,50,0.9461,0.9255,0.836,0.8375
B,160,1,50,0.9461,0.9255,0.836,0.8764
A,160,2,50,0.9461,0.9255,0.836,0.842
B,160,2,50,0.9461,0.9255,0.836,0.8742
A,216,0,50,0.95,0.93,0.85,0.8422
B,216,0,50,0.95,0.93,0.85,0.8784
A,216,1,50,0.95,0.93,0.85,0.8594
B,216,1,50,0.95,0.93,0.85,0.8979
A,216,2,50,0.95,0.93,0.85,0.8349
B,216,2,50,0.95,0.93,0.85,0.8982
