condition,seed,eval_config,acc,precision,recall,f1
balanced,0,overall,0.95,0.88,0.85,0.8735
homogeneous,0,overall,0.9,0.82,0.7,0.8617
balanced,0,1,0.95,0.88,0.85,0.8626
homogeneous,0,1,0.9,0.82,0.7,0.8453
balanced,0,2,0.95,0.88,0.85,0.8746
homogeneous,0,2,0.9,0.82,0.7,0.8794
balanced,0,3,0.95,0.88,0.85,0.878
homogeneous,0,3,0.9,0.82,0.7,0.7197
balanced,0,4,0.95,0.88,0.85,0.8636
homogeneous,0,4,0.9,0.82,0.7,0.6819
balanced,0,5,0.95,0.88,0.85,0.86
homogeneous,0,5,0.9,0.82,0.7,0.7098
balanced,0,6,0.95,0.88,0.85,0.8471
homogeneous,0,6,0.9,0.82,0.7,0.7059
balanced,0,7,0.95,0.88,0.85,0.8643
homogeneous,0,7,0.9,0.82,0.7,0.7104
balanced,0,8,0.95,0.88,0.85,0.8482
homogeneous,0,8,0.9,0.82,0.7,0.6901
balanced,1,overall,0.95,0.88,0.85,0.8556
homogeneous,1,overall,0.9,0.82,0.7,0.8325
balanced,1,1,0.95,0.88,0.85,0.8774
homogeneous,1,1,0.9,0.82,0.7,0.8426
balanced,1,2,0.95,0.88,0.85,0.8633
homogeneous,1,2,0.9,0.82,0.7,0.8461
balanced,1,3,0.95,0.88,0.85,0.8758
homogeneous,1,3,0.9,0.82,0.7,0.7198
balanced,1,4,0.95,0.88,0.85,0.8663
homogeneous,1,4,0.9,0.82,0.7,0.6669
balanced,1,5,0.95,0.88,0.85,0.8605
homogeneous,1,5,0.9,0.82,0.7,0.7103
balanced,1,6,0.95,0.88,0.85,0.87
homogeneous,1,6,0.9,0.82,0.7,0.6907
balanced,1,7,0.95,0.88,0.85,0.8782
homogeneous,1,7,0.9,0.82,0.7,0.6802
balanced,1,8,0.95,0.88,0.85,0.8534
homogeneous,1,8,0.9,0.82,0.7,0.714
balanced,2,overall,0.95,0.88,0.85,0.8605
homogeneous,2,overall,0.9,0.82,0.7,0.88
balanced,2,1,0.95,0.88,0.85,0.8619
homogeneous,2,1,0.9,0.82,0.7,0.8405
balanced,2,2,0.95,0.88,0.85,0.8562
homogeneous,2,2,0.9,0.82,0.7,0.8336
balanced,2,3,0.95,0.88,0.85,0.8472
homogeneous,2,3,0.9,0.82,0.7,0.7095
balanced,2,4,0.95,0.88,0.85,0.8658
homogeneous,2,4,0.9,0.82,0.7,0.7194
balanced,2,5,0.95,0.88,0.85,0.8525
homogeneous,2,5,0.9,0.82,0.7,0.7253
balanced,2,6,0.95,0.88,0.85,0.8571
homogeneous,2,6,0.9,0.82,0.7,0.7236
balanced,2,7,0.95,0.88,0.85,0.8557
homogeneous,2,7,0.9,0.82,0.7,0.689
balanced,2,8,0.95,0.88,0.85,0.8625
homogeneous,2,8,0.9,0.82,0.7,0.7155
